File,aid,Date,(1) Evergreen Needleleaf Forests,(2) Evergreen Broadleaf Forests,(4) Deciduous Broadleaf Forests,(5) Mixed Forests,(8) Woody Savannas,(9) Savannas,(10) Grasslands,(11) Permanent Wetlands,(12) Croplands,(13) Urban and Built-up Lands,(14) Cropland/Natural Vegetation Mosaic,(16) Barren,(17) Water Bodies
LC_Type1_2018001_aid0154,aid0154,2018-01-01,,28.0,,,36.0,1.0,1.0,,,,,,
LC_Type1_2018001_aid0155,aid0155,2018-01-01,,4.0,,,26.0,,3.0,,,,,,
LC_Type1_2018001_aid0156,aid0156,2018-01-01,,5.0,,,34.0,,12.0,,,,,,
LC_Type1_2018001_aid0157,aid0157,2018-01-01,,16.0,,,38.0,,,,,,,,
LC_Type1_2018001_aid0158,aid0158,2018-01-01,,56.0,,,42.0,,,,,,,,
LC_Type1_2018001_aid0159,aid0159,2018-01-01,,20.0,,,14.0,,13.0,2.0,,,,,1.0
LC_Type1_2018001_aid0160,aid0160,2018-01-01,,37.0,,,22.0,,1.0,,,,,,
LC_Type1_2018001_aid0161,aid0161,2018-01-01,,4.0,,,8.0,2.0,,,,,,,
LC_Type1_2018001_aid0162,aid0162,2018-01-01,,,,,21.0,,,,,,,,
LC_Type1_2018001_aid0163,aid0163,2018-01-01,,10.0,,,74.0,,,,,,,,
LC_Type1_2018001_aid0164,aid0164,2018-01-01,,35.0,,,68.0,,,,,,,,
LC_Type1_2018001_aid0165,aid0165,2018-01-01,,12.0,,,7.0,,,,,,,,
LC_Type1_2018001_aid0166,aid0166,2018-01-01,,,,,37.0,,1.0,,,,,,
LC_Type1_2018001_aid0167,aid0167,2018-01-01,,6.0,,,9.0,,1.0,,,,,,
LC_Type1_2018001_aid0168,aid0168,2018-01-01,,34.0,,,12.0,,,,,,,,
LC_Type1_2018001_aid0169,aid0169,2018-01-01,,2.0,,,68.0,,,,,,,,
LC_Type1_2018001_aid0170,aid0170,2018-01-01,,11.0,,,39.0,,,,,,,,
LC_Type1_2018001_aid0171,aid0171,2018-01-01,,,,,1.0,,,,,,,,
LC_Type1_2018001_aid0172,aid0172,2018-01-01,,1.0,,,27.0,,,,,,,,
LC_Type1_2018001_aid0173,aid0173,2018-01-01,,8.0,,,8.0,,,,,,,,
LC_Type1_2018001_aid0174,aid0174,2018-01-01,,20.0,,,10.0,,,,,,,,
LC_Type1_2018001_aid0175,aid0175,2018-01-01,,4.0,,,65.0,,,,,,,,
LC_Type1_2018001_aid0176,aid0176,2018-01-01,,39.0,,,14.0,,,,,,,,
LC_Type1_2018001_aid0177,aid0177,2018-01-01,,3.0,,,28.0,,7.0,,2.0,,1.0,,
LC_Type1_2018001_aid0178,aid0178,2018-01-01,,34.0,,,47.0,,,,,,,,
LC_Type1_2018001_aid0179,aid0179,2018-01-01,,21.0,,,73.0,,3.0,,,,,,
LC_Type1_2018001_aid0180,aid0180,2018-01-01,,,,,5.0,2.0,,,,,,,
LC_Type1_2018001_aid0181,aid0181,2018-01-01,,,,,2.0,1.0,,1.0,,,,,
LC_Type1_2018001_aid0182,aid0182,2018-01-01,,,,,4.0,,,,,,,,
LC_Type1_2018001_aid0183,aid0183,2018-01-01,,6.0,,,116.0,,,,,,,,
LC_Type1_2018001_aid0184,aid0184,2018-01-01,,6.0,,,33.0,,,,,,,,
LC_Type1_2018001_aid0185,aid0185,2018-01-01,,1.0,,,25.0,,5.0,,1.0,,,,
LC_Type1_2018001_aid0186,aid0186,2018-01-01,,9.0,,,21.0,,,,,,,,
LC_Type1_2018001_aid0187,aid0187,2018-01-01,,52.0,,,42.0,1.0,,,,,1.0,,
LC_Type1_2018001_aid0188,aid0188,2018-01-01,,179.0,,,35.0,,,,,,,,
LC_Type1_2018001_aid0189,aid0189,2018-01-01,,13.0,,,56.0,,,,,,,,
LC_Type1_2018001_aid0190,aid0190,2018-01-01,,22.0,,,5.0,1.0,7.0,,,,1.0,,
LC_Type1_2018001_aid0191,aid0191,2018-01-01,,55.0,,,68.0,,1.0,,,,,,
LC_Type1_2018001_aid0192,aid0192,2018-01-01,,24.0,,,27.0,,3.0,,,,,,
LC_Type1_2018001_aid0193,aid0193,2018-01-01,,156.0,,,54.0,7.0,,,,,,,
LC_Type1_2018001_aid0194,aid0194,2018-01-01,,17.0,,,,,,,,,,,
LC_Type1_2018001_aid0195,aid0195,2018-01-01,,25.0,,,16.0,,,,,,,,
LC_Type1_2018001_aid0196,aid0196,2018-01-01,,15.0,,,17.0,1.0,,,,,,,
LC_Type1_2018001_aid0197,aid0197,2018-01-01,,172.0,,,69.0,1.0,27.0,,,,2.0,,
LC_Type1_2018001_aid0198,aid0198,2018-01-01,,8.0,,,53.0,,12.0,,,,,,
LC_Type1_2018001_aid0199,aid0199,2018-01-01,,,,,34.0,,3.0,,,,,,
LC_Type1_2018001_aid0200,aid0200,2018-01-01,,60.0,,,33.0,1.0,13.0,1.0,,,3.0,,
LC_Type1_2018001_aid0201,aid0201,2018-01-01,,47.0,,,17.0,,,,,,,,
LC_Type1_2018001_aid0202,aid0202,2018-01-01,,9.0,,,30.0,,1.0,,,,,,
LC_Type1_2018001_aid0203,aid0203,2018-01-01,,58.0,,,58.0,1.0,5.0,,,7.0,2.0,,
LC_Type1_2018001_aid0204,aid0204,2018-01-01,,2.0,,,31.0,,4.0,,,,,,
LC_Type1_2018001_aid0205,aid0205,2018-01-01,,13.0,,,45.0,,3.0,,,,,,
LC_Type1_2018001_aid0206,aid0206,2018-01-01,,20.0,,,25.0,,,,,,,,
LC_Type1_2018001_aid0207,aid0207,2018-01-01,,13.0,,,21.0,1.0,2.0,,,,,,
LC_Type1_2018001_aid0208,aid0208,2018-01-01,,16.0,,,18.0,,2.0,,,,,,
LC_Type1_2018001_aid0209,aid0209,2018-01-01,,53.0,,,80.0,,21.0,,,2.0,,,
